Accepter,aurais accepté, aurais accepté, aurait accepté, aurait accepté, aurions accepté, auriez accepté, auraient accepté, auraient accepté
Agir,aurais agi, aurais agi,aurait agi, aurait agi, aurions agi, auriez agi, auraient agi, auraient agi
Poser, aurais posé, aurais posé, aurait posé, aurait posé, aurions posé, auriez posé, auraient posé, auraient posé
Jouer, aurais joué, aurais joué, aurait joué, aurait joué, aurions joué, auriez joué, auraient joué, auraient joué
Reconnaître,aurais reconnu,aurais reconnu,aurait reconnu,aurait reconnu,aurions reconnu,auriez reconnu,auraient reconnu,auraient reconnu
Choisir, aurais choisi, aurais choisi, aurait choisi, aurait choisi, aurions choisi, auriez choisi, auraient choisi, auraient choisi
Toucher, aurais touché, aurais touché, aurait touché, aurait touché, aurions touché, auriez touché, auraient touché, auraient touché
Aimer, aurais aimé, aurais aimé, aurait aimé, aurait aimé, aurions aimé, auriez aimé, auraient aimé, auraient aimé
Retrouver,aurais retrouvé,aurais retrouvé,aurait retrouvé,aurait retrouvé,aurions retrouvé,auriez retrouvé,auraient retrouvé,auraient retrouvé
Perdre, aurais perdu, aurais perdu, aurait perdu, aurait perdu, aurions perdu, auriez perdu, auraient perdu, auraient perdu
Expliquer, aurais expliqué, aurais expliqué, aurait expliqué, aurait expliqué, aurions expliqué, auriez expliqué, auraient expliqué, auraient expliqué
Considérer, aurais considéré, aurais considéré, aurait considéré, aurait considéré, aurions considéré, auriez considéré, auraient considéré, auraient considéré
Ouvrir, aurais ouvert, aurais ouvert, aurait ouvert, aurait ouvert, aurions ouvert, auriez ouvert, auraient ouvert, auraient ouvert
Gagner, aurais gagné, aurais gagné, aurait gagné, aurait gagné, aurions gagné, auriez gagné, auraient gagné, auraient gagné
Exister, aurais existé, aurais existé, aurait existé, aurait existé, aurions existé, auriez existé, auraient existé, auraient existé
Refuser, aurais refusé, aurais refusé, aurait refusé, aurait refusé, aurions refusé, auriez refusé, auraient refusé, auraient refusé
Lire, aurais lu, aurais lu, aurait lu, aurait lu, aurions lu, auriez lu, auraient lu, auraient lu
Réussir, aurais réussi, aurais réussi, aurait réussi, aurait réussi, aurions réussi, auriez réussi, auraient réussi, auraient réussi
Changer, aurais changé, aurais changé, aurait changé, aurait changé, aurions changé, auriez changé, auraient changé, auraient changé
Travailler, aurais travaillé, aurais travaillé, aurait travaillé, aurait travaillé, aurions travaillé, auriez travaillé, auraient travaillé, auraient travaillé
Représenter,aurais représenté, aurais représenté, aurait représenté, aurait représenté, aurions représenté, auriez représenté, auraient représenté, auraient représenté
Assurer, aurais assuré, aurais assuré, aurait assuré, aurait assuré, aurions assuré, auriez assuré, auraient assuré, auraient assuré
Essayer, aurais essayé, aurais essayé, aurait essayé, aurait essayé, aurions essayé, auriez essayé, auraient essayé, auraient essayé
