Reconnaître,aurai reconnu,auras reconnu,aura reconnu,aura reconnu,aurons reconnu,aurez reconnu,auront reconnu,auront reconnu
Choisir, aurai choisi, auras choisi, aura choisi, aura choisi, aurons choisi, aurez choisi, auront choisi, auront choisi
Toucher, aurai touché, auras touché, aura touché, aura touché, aurons touché, aurez touché, auront touché, auront touché
Aimer, aurai aimé, auras aimé, aura aimé, aura aimé, aurons aimé, aurez aimé, auront aimé, auront aimé
Retrouver,aurai retrouvé,auras retrouvé,aura retrouvé,aura retrouvé,aurons retrouvé,aurez retrouvé,auront retrouvé,auront retrouvé
Perdre, aurai perdu, auras perdu, aura perdu, aura perdu, aurons perdu, aurez perdu, auront perdu, auront perdu
Expliquer, aurai expliqué, auras expliqué, aura expliqué, aura expliqué, aurons expliqué, aurez expliqué, auront expliqué, auront expliqué
Considérer, aurai considéré, auras considéré, aura considéré, aura considéré, aurons considéré, aurez considéré, auront considéré, auront considéré
Ouvrir, aurai ouvert, auras ouvert, aura ouvert, aura ouvert, aurons ouvert, aurez ouvert, auront ouvert, auront ouvert
Gagner, aurai gagné, auras gagné, aura gagné, aura gagné, aurons gagné, aurez gagné, auront gagné, auront gagné
Exister, aurai existé, auras existé, aura existé, aura existé, aurons existé, aurez existé, auront existé, auront existé
Refuser, aurai refusé, auras refusé, aura refusé, aura refusé, aurons refusé, aurez refusé, auront refusé, auront refusé
Lire, aurai lu, auras lu, aura lu, aura lu, aurons lu, aurez lu, auront lu, auront lu
Réussir, aurai réussi, auras réussi, aura réussi, aura réussi, aurons réussi, aurez réussi, auront réussi, auront réussi
Changer, aurai changé, auras changé, aura changé, aura changé, aurons changé, aurez changé, auront changé, auront changé
Travailler, aurai travaillé, auras travaillé, aura travaillé, aura travaillé, aurons travaillé, aurez travaillé, auront travaillé, auront travaillé
Représenter,aurai représenté, auras représenté, aura représenté, aura représenté, aurons représenté, aurez représenté, auront représenté, auront représenté
Assurer, aurai assuré, auras assuré, aura assuré, aura assuré, aurons assuré, aurez assuré, auront assuré, auront assuré
Essayer, aurai essayé, auras essayé, aura essayé, aura essayé, aurons essayé, aurez essayé, auront essayé, auront essayé
Empêcher, aurai empêché, auras empêché, aura empêché, aura empêché, aurons empêché, aurez empêché, auront empêché, auront empêché
Sortir, serai sorti, seras sorti, sera sorti, sera sortie, serons sortis, serez sortis, seront sortis, seront sorties
Reprendre,aurai repris,auras repris,aura repris,aura repris,aurons repris,aurez repris,auront repris,auront repris
Mener, aurai mené, auras mené, aura mené, aura mené, aurons mené, aurez mené, auront mené, auront mené
Appartenir, aurai appartenu, auras appartenu, aura appartenu, aura appartenu, aurons appartenu, aurez appartenu, auront appartenu, auront appartenu
Risquer, aurai risqué, auras risqué, aura risqué, aura risqué, aurons risqué, aurez risqué, auront risqué, auront risqué
Concerner, aurai concerné, auras concerné, aura concerné, aura concerné, aurons concerné, aurez concerné, auront concerné, auront concerné
Apprendre, aurai appris, auras appris, aura appris, aura appris, aurons appris, aurez appris, auront appris, auront appris
Rencontrer, aurai rencontré, auras rencontré, aura rencontré, aura rencontré, aurons rencontré, aurez rencontré, auront rencontré, auront rencontré
Créer, aurai créé, auras créé, aura créé, aura créé, aurons créé, aurez créé, auront créé, auront créé
Obtenir, aurai obtenu, auras obtenu, aura obtenu, aura obtenu, aurons obtenu, aurez obtenu, auront obtenu, auront obtenu
Chercher, aurai cherché, auras cherché, aura cherché, aura cherché, aurons cherché, aurez cherché, auront cherché, auront cherché
Entrer, serai entré, seras entré, sera entré, sera entrée, serons entrés, serez entrés, seront entrés, seront entrées
Proposer, aurai proposé, auras proposé, aura proposé, aura proposé, aurons proposé, aurez proposé, auront proposé, auront proposé
Apporter, aurai apporté, auras apporté, aura apporté, aura apporté, aurons apporté, aurez apporté, auront apporté, auront apporté
Utiliser, aurai utilisé, auras utilisé, aura utilisé, aura utilisé, aurons utilisé, aurez utilisé, auront utilisé, auront utilisé
Atteindre, aurai atteint, auras atteint, aura atteint, aura atteint, aurons atteint, aurez atteint, auront atteint, auront atteint
Tenter, aurai tenté, auras tenté, aura tenté, aura tenté, aurons tenté, aurez tenté, auront tenté, auront tenté
Importer, aurai importé, auras importé, aura importé, aura importé, aurons importé, aurez importé, auront importé, auront importé
Ajouter, aurai ajouté, auras ajouté, aura ajouté, aura ajouté, aurons ajouté, aurez ajouté, auront ajouté, auront ajouté
Produire, aurai produit, auras produit, aura produit, aura produit, aurons produit, aurez produit, auront produit, auront produit
Préparer, aurai préparé, auras préparé, aura préparé, aura préparé, aurons préparé, aurez préparé, auront préparé, auront préparé
Relever, aurai relevé, auras relevé, aura relevé, aura relevé, aurons relevé, aurez relevé, auront relevé, auront relevé
Écrire, aurai écrit, auras écrit, aura écrit, aura écrit, aurons écrit, aurez écrit, auront écrit, auront écrit
Défendre, aurai défendu, auras défendu, aura défendu, aura défendu, aurons défendu, aurez défendu, auront défendu, auront défendu
Tirer, aurai tiré, auras tiré, aura tiré, aura tiré, aurons tiré, aurez tiré, auront tiré, auront tiré
S'éloigner, me serai éloigné, te seras éloigné, se sera éloigné, se sera éloigné, nous serons éloignés, vous serez éloigné, se seront éloignés, se seront éloignés
S'appeler, me serai appelé, te seras appelé, se sera appelé, se sera appelée, nous serons appelés, vous serez appelés, se seront appelés, se seront appelées
S'asseoir, me serai assis, te seras assis, se sera assis, se sera assise, nous serons assis, vous serez assis, se seront assis, se seront assises
S'arrêter, me serai arrêté, te seras arrêté, se sera arrêté, se sera arrêtée, nous serons arrêtés, vous serez arrêtés, se seront arrêtés, se seront arrêtées
S'avancer, me serai avancé, te seras avancé, se sera avancé, se sera avancée, nous serons avancés, vous serez avancés, se seront avancés, se seront avancées
S'habiller, me serai habillé, te seras habillé, se sera habillé, se sera habillée, nous serons habillés, vous serez habillés, se seront habillés, se seront habillées
Se coucher, me serai couché, te seras couché, se sera couché, se sera couchée, nous serons couchés, vous serez couchés, se seront couchés, se seront couchées
Se cacher, me serai caché, te seras caché, se sera caché, se sera cachée, nous serons cachés, vous serez cachés, se seront caché, se seront cachées
Se blesser, me serai blessé, te seras blessé, se sera blessé, se sera blessées, nous serons blessés, vous serez blessés, se seront blessés, se seront blessées
Se distraire, me serai distrait, te seras distrait, se sera distrait, se sera distraite, nous serons distraits, vous serez distraits, se seront distraits, se seront distraites  
Se doucher, me serai douché, te seras douché, se sera douché, se sera douchée, nous serons douchés, vous serez douchés, se seront douchés, se seront douchées
S'ennuyer, me serai ennuyé, te seras ennuyé, se sera ennuyé, se sera ennuyée, nous serons ennuyés, vous serez ennuyés, se seront ennuyé, se seront ennuyées
Se laver, me serai lavé, te seras lavé, se sera lavé, se sera lavée, nous serons lavés, vous serez lavés, se seront lavés, se seront lavées
Se marier, me serai marié, te seras marié, se sera marié, se sera mariée, nous serons mariés, vous serez mariés, se seront mariés, se seront mariées
Se préparer, me serai préparé, te seras préparé, se sera préparé, se sera préparée, nous serons préparés, vous serez préparés, se seront préparés, se seront préparées
Se promener, me serai promené, te seras promené, se sera promené, se sera promenée, nous serons promenés, vous serez promenés, se seront promenés, se seront promenées
Se réveiller, me serai réveillé, te seras réveillé, se sera réveillé, se sera réveillée, nous serons réveillés, vous serez réveillés, se seront réveillés, se seront réveillées
Se transformer, me serai transformé, te seras transformé, se sera transformé, se sera transformée, nous serons transformés, vous serez transformés, se seront transformés, se seront transformées
Se tromper, me serai trompé, te seras trompé, se sera trompé, se sera trompée, nous serons trompés, vous serez trompés, se seront trompés, se seront trompées
